2026-05-19 11:54:45 - __main__ - INFO - Starting packet capture on interface 'any'
2026-05-19 11:54:45 - __main__ - INFO - BPF filter: tcp port 5050
2026-05-19 11:54:49 - app.model_prediction - INFO - Model loaded successfully: /app/models/random_forest_min-max_scaling_model.pkl
2026-05-19 11:54:49 - app.model_prediction - INFO - Scaler loaded successfully: /app/models/random_forest_min-max_scaling_scaler.pkl
2026-05-19 11:54:49 - __main__ - INFO - Detection system initialized successfully
2026-05-19 11:54:50 - __main__ - INFO - Capture started. Waiting for packets...
2026-05-19 11:54:50 - __main__ - INFO - Press Ctrl+C to stop
2026-05-19 11:56:35 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 84.87%, Threshold: 65.00%)
2026-05-19 11:56:35 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 83.50%, Threshold: 65.00%)
2026-05-19 11:56:35 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 83.10%, Threshold: 65.00%)
2026-05-19 11:56:35 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 81.89%, Threshold: 65.00%)
2026-05-19 11:56:35 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 82.43%, Threshold: 65.00%)
2026-05-19 11:56:35 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 81.08%, Threshold: 65.00%)
2026-05-19 11:56:35 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 76.14%, Threshold: 65.00%)
2026-05-19 11:56:36 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 78.14%, Threshold: 65.00%)
2026-05-19 11:56:36 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 75.34%, Threshold: 65.00%)
2026-05-19 11:56:36 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 75.25%, Threshold: 65.00%)
2026-05-19 11:56:36 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 77.22%, Threshold: 65.00%)
2026-05-19 11:56:36 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 71.80%, Threshold: 65.00%)
2026-05-19 11:56:36 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 75.05%, Threshold: 65.00%)
2026-05-19 11:56:36 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 75.54%, Threshold: 65.00%)
2026-05-19 11:56:37 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 75.72%, Threshold: 65.00%)
2026-05-19 11:56:37 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 77.95%, Threshold: 65.00%)
2026-05-19 11:56:40 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 79.16%, Threshold: 65.00%)
2026-05-19 11:56:40 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 78.73%, Threshold: 65.00%)
2026-05-19 11:56:40 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 75.16%, Threshold: 65.00%)
2026-05-19 11:56:40 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 73.81%, Threshold: 65.00%)
2026-05-19 11:56:40 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 75.48%, Threshold: 65.00%)
2026-05-19 11:56:41 - detection.prediction - WARNING - ⚠️  DDoS ATTACK DETECTED! (Confidence: 79.44%, Threshold: 65.00%)
